individual	time	statistic	proportion	rate_eur2afr	replicate
eur_6	30000	direct f4-ratio	0.016466797923751563	0.07500000000000001	2
eur_7	28000	direct f4-ratio	0.03012946721555993	0.07500000000000001	2
eur_8	26000	direct f4-ratio	0.02505817075353499	0.07500000000000001	2
eur_9	24000	direct f4-ratio	0.037318775729371756	0.07500000000000001	2
eur_10	22000	direct f4-ratio	0.04262872143666846	0.07500000000000001	2
eur_11	20000	direct f4-ratio	0.02589344311198616	0.07500000000000001	2
eur_12	18000	direct f4-ratio	0.026221585824234832	0.07500000000000001	2
eur_13	16000	direct f4-ratio	0.04585048624783724	0.07500000000000001	2
eur_14	14000	direct f4-ratio	0.03442515363045164	0.07500000000000001	2
eur_15	12000	direct f4-ratio	0.033381063182387684	0.07500000000000001	2
eur_16	10000	direct f4-ratio	0.02073265318298431	0.07500000000000001	2
eur_17	8000	direct f4-ratio	0.020016705447169023	0.07500000000000001	2
eur_18	6000	direct f4-ratio	0.04811765407791898	0.07500000000000001	2
eur_19	4000	direct f4-ratio	0.02106079589523298	0.07500000000000001	2
eur_20	2000	direct f4-ratio	0.021269613984845774	0.07500000000000001	2
eur_21	0	direct f4-ratio	0.03272477775789034	0.07500000000000001	2
eur_1	40000	direct f4-ratio	-0.0033929112390184797	0.1	2
eur_2	38000	direct f4-ratio	0.015374129051802483	0.1	2
eur_3	36000	direct f4-ratio	0.005013632232656771	0.1	2
eur_4	34000	direct f4-ratio	0.003589821266282945	0.1	2
eur_5	32000	direct f4-ratio	0.008800363526204181	0.1	2
eur_6	30000	direct f4-ratio	-0.0028476219327476524	0.1	2
eur_7	28000	direct f4-ratio	0.015692214480460466	0.1	2
eur_8	26000	direct f4-ratio	0.012359890942138746	0.1	2
eur_9	24000	direct f4-ratio	0.009800060587700696	0.1	2
eur_10	22000	direct f4-ratio	0.006028476219327477	0.1	2
eur_11	20000	direct f4-ratio	0.013480763405028778	0.1	2
eur_12	18000	direct f4-ratio	0.004862162980914874	0.1	2
eur_13	16000	direct f4-ratio	0.007467434110875493	0.1	2
eur_14	14000	direct f4-ratio	0.028657982429566794	0.1	2
eur_15	12000	direct f4-ratio	-0.0019993941229930327	0.1	2
eur_16	10000	direct f4-ratio	0.0029536504089669796	0.1	2
eur_17	8000	direct f4-ratio	0.007800666464707664	0.1	2
eur_18	6000	direct f4-ratio	0.010345349893971524	0.1	2
eur_19	4000	direct f4-ratio	0.007755225689185095	0.1	2
eur_20	2000	direct f4-ratio	0.011541956982732506	0.1	2
eur_21	0	direct f4-ratio	0.011875189336564677	0.1	2
eur_1	40000	direct f4-ratio	0.019455717354977323	0.125	2
eur_2	38000	direct f4-ratio	0.04875865361661494	0.125	2
eur_3	36000	direct f4-ratio	0.04070183814752924	0.125	2
eur_4	34000	direct f4-ratio	0.021335640964430653	0.125	2
eur_5	32000	direct f4-ratio	0.03810575316304607	0.125	2
eur_6	30000	direct f4-ratio	0.05293626163762234	0.125	2
eur_7	28000	direct f4-ratio	0.01196586297445691	0.125	2
eur_8	26000	direct f4-ratio	0.04908689424683695	0.125	2
eur_9	24000	direct f4-ratio	0.05395082358558128	0.125	2
eur_10	22000	direct f4-ratio	0.03503222726187634	0.125	2
eur_11	20000	direct f4-ratio	0.05472666507519695	0.125	2
eur_12	18000	direct f4-ratio	0.05603962759608498	0.125	2
eur_13	16000	direct f4-ratio	0.04165671998090236	0.125	2
eur_14	14000	direct f4-ratio	0.04481976605395083	0.125	2
eur_15	12000	direct f4-ratio	0.024588207209357844	0.125	2
eur_16	10000	direct f4-ratio	0.040552637861064694	0.125	2
eur_17	8000	direct f4-ratio	0.04383504416328479	0.125	2
eur_18	6000	direct f4-ratio	0.024528527094772018	0.125	2
eur_19	4000	direct f4-ratio	0.022081642396753403	0.125	2
eur_20	2000	direct f4-ratio	0.042074480783003104	0.125	2
eur_21	0	direct f4-ratio	0.03318214370971592	0.125	2
eur_1	40000	direct f4-ratio	0.03580673617839737	0.15000000000000002	2
eur_2	38000	direct f4-ratio	0.026262129604188056	0.15000000000000002	2
eur_3	36000	direct f4-ratio	0.0286916658230777	0.15000000000000002	2
eur_4	34000	direct f4-ratio	0.0430953448350663	0.15000000000000002	2
eur_5	32000	direct f4-ratio	0.03652981243401929	0.15000000000000002	2
eur_6	30000	direct f4-ratio	0.03699258123761732	0.15000000000000002	2
eur_7	28000	direct f4-ratio	0.03947996355695672	0.15000000000000002	2
eur_8	26000	direct f4-ratio	0.04170703842427222	0.15000000000000002	2
eur_9	24000	direct f4-ratio	0.04662395696250127	0.15000000000000002	2
